iter	RMSE
0	320084.8072
1	311460.0691
2	303096.095
3	294977.0871
4	286975.2585
5	279116.7946
6	271590.3352
7	264371.6711
8	257331.5882
9	250368.7281
10	243769.3212
11	237332.2522
12	231219.6679
13	225190.0168
14	219430.9377
15	213773.4857
16	208252.8383
17	202870.1692
18	197719.6499
19	192772.4875
20	187960.3128
21	183204.6177
22	178669.445
23	174283.0408
24	169913.9022
25	165690.839
26	161749.3978
27	157890.6001
28	154126.3236
29	150473.0132
30	146959.7143
31	143498.1251
32	140173.9163
33	137048.6495
34	133948.1894
35	130968.547
36	128055.7684
37	125293.5884
38	122634.789
39	120021.5447
40	117551.3353
41	115164.5833
42	112831.0897
43	110521.8266
44	108381.5507
45	106328.6067
46	104325.0496
47	102447.1758
48	100645.9591
49	98906.41686
50	97192.60669
51	95483.73842
52	93918.16931
53	92379.36282
54	90910.66799
55	89491.48089
56	88188.16782
57	86754.98002
58	85530.80029
59	84189.30413
60	83034.71445
61	81982.61505
62	80957.09055
63	79966.89303
64	79023.01944
65	78133.56677
66	77290.8115
67	76436.11864
68	75655.98459
69	74698.04752
70	73971.54074
71	73126.2986
72	72459.48397
73	71685.59867
74	71029.8132
75	70428.02843
76	69826.32932
77	69250.51369
78	68752.21923
79	68190.06108
80	67738.53261
81	67306.96317
82	66842.83757
83	66319.33676
84	65898.54704
85	65550.42383
86	65220.39877
87	64768.8963
88	64322.42386
89	64014.39612
90	63619.34457
91	63243.69912
92	62875.7681
93	62585.33416
94	62370.54303
95	62124.29986
96	61915.24818
97	61724.5191
98	61540.58033
99	61337.45846
100	61126.087
101	60947.34729
102	60672.03715
103	60525.10191
104	60345.5324
105	60151.57437
106	59859.71227
107	59709.06888
108	59494.1299
109	59380.56993
110	59187.89039
111	59071.38348
112	58947.33124
113	58808.20321
114	58695.83219
115	58532.09489
116	58376.99475
117	58256.6932
118	58116.21125
119	57929.78246
120	57782.06193
121	57661.13165
122	57508.6223
123	57438.29909
124	57298.16239
125	57193.39902
126	57072.49606
127	56975.81807
128	56844.04591
129	56796.43891
130	56729.0036
131	56692.2405
132	56592.92468
133	56485.04496
134	56438.6242
135	56340.46946
136	56243.62347
137	56139.53247
138	56081.88759
139	55994.277
140	55927.23309
141	55884.46839
142	55806.92122
143	55749.25312
144	55704.01744
145	55658.52471
146	55549.45559
147	55492.25231
148	55421.54767
149	55349.3531
150	55280.89023
151	55228.72438
152	55165.19914
153	55144.6387
154	55044.51868
155	55003.76192
156	54910.53134
157	54859.4731
158	54801.41177
159	54717.21685
160	54668.69395
161	54604.74838
162	54526.46438
163	54476.08473
164	54450.71879
165	54422.58236
166	54361.21759
167	54329.05924
168	54276.74934
169	54247.09104
170	54204.61361
171	54162.08423
172	54117.5707
173	54075.12911
174	54025.19396
175	53942.91721
176	53905.60694
177	53820.18104
178	53785.81577
179	53705.09826
180	53676.50204
181	53656.2907
182	53604.89587
183	53573.74007
184	53497.7535
185	53473.88744
186	53424.0658
187	53382.87726
188	53349.03032
189	53295.21603
190	53248.89096
191	53167.02581
192	53122.67092
193	53112.38506
194	53092.45011
195	53024.26771
196	53012.30306
197	52951.78801
198	52924.21447
199	52907.98216
200	52841.7939
201	52829.88274
202	52818.2272
203	52785.53026
204	52755.68136
205	52676.60723
206	52664.40068
207	52619.16396
208	52577.31304
209	52552.53876
210	52519.24365
211	52501.94105
212	52426.72482
213	52400.70448
214	52375.81824
215	52355.21871
216	52330.63862
217	52307.09613
218	52290.33659
219	52267.42624
220	52235.94953
221	52210.8945
222	52200.68908
223	52166.42207
224	52126.90291
225	52081.08859
226	52053.77754
227	52045.74152
228	51983.95941
229	51943.3733
230	51873.9854
231	51846.25458
232	51817.9563
233	51810.04397
234	51794.78303
235	51785.15089
236	51740.92945
237	51722.35342
238	51692.53448
239	51631.53847
240	51566.93814
241	51557.4627
242	51548.1323
243	51523.02155
244	51513.83411
245	51504.78681
246	51495.87734
247	51483.32956
248	51454.42118
249	51445.72125
250	51422.21729
251	51385.51432
252	51353.22913
253	51344.64337
254	51310.97517
255	51280.4767
256	51272.96524
257	51217.83267
258	51209.44023
259	51190.22703
260	51150.9093
261	51144.61143
262	51138.42504
263	51131.60197
264	51122.66519
265	51114.90131
266	51075.53817
267	51055.0451
268	51017.66195
269	51010.00598
270	50985.16628
271	50948.96594
272	50941.40622
273	50933.95938
274	50926.62371
275	50875.94285
276	50841.06681
277	50803.9106
278	50796.66295
279	50773.22135
280	50766.08031
281	50739.36747
282	50710.49073
283	50667.91239
284	50632.94507
285	50601.61038
286	50560.29095
287	50523.36972
288	50456.27631
289	50442.70455
290	50434.38019
291	50401.90088
292	50378.14029
293	50353.42265
294	50307.43304
295	50299.85583
296	50242.20385
297	50235.11986
298	50179.85675
299	50158.6628
300	50151.29137
301	50107.90781
302	50059.64097
303	50052.85884
304	49988.81792
305	49974.07813
306	49932.98519
307	49899.77865
308	49871.58083
309	49810.77657
310	49781.48144
311	49753.67856
312	49748.4215
313	49741.06078
314	49726.906
315	49676.11147
316	49629.86365
317	49621.06374
318	49614.57422
319	49575.81277
320	49553.28114
321	49515.65277
322	49482.17064
323	49474.49205
324	49438.95838
325	49382.04908
326	49374.47682
327	49367.52488
328	49361.26859
329	49323.35464
330	49309.83463
331	49305.13437
332	49283.33739
333	49262.50135
334	49257.297
335	49202.40323
336	49193.39767
337	49157.54974
338	49151.56154
339	49144.87323
340	49102.40908
341	49095.83388
342	49061.082
343	49052.20669
344	49039.58838
345	49025.14879
346	49005.4997
347	48952.83056
348	48925.88685
349	48879.469
350	48872.90504
351	48823.05987
352	48782.96847
353	48763.32986
354	48724.15328
355	48717.12865
356	48686.56077
357	48680.04788
358	48641.81918
359	48635.41594
360	48609.70348
361	48566.74314
362	48545.32534
363	48539.72528
364	48502.36148
365	48495.98922
366	48460.84798
367	48442.91324
368	48427.2921
369	48418.31055
370	48384.5585
371	48348.33766
372	48341.97524
373	48333.10581
374	48292.67602
375	48249.4514
376	48216.58633
377	48192.36346
378	48164.07046
379	48137.08279
380	48104.24112
381	48091.50607
382	48082.95917
383	48055.61533
384	48049.18866
385	48011.20235
386	47978.94758
387	47947.6658
388	47935.41701
389	47918.52248
390	47882.07287
391	47875.75759
392	47850.39957
393	47844.18934
394	47838.08152
395	47805.04334
396	47799.03759
397	47757.92289
398	47751.94915
399	47746.07326
400	47714.49902
401	47709.30589
402	47674.14532
403	47660.6227
404	47654.84433
405	47619.64818
406	47613.97916
407	47590.05681
408	47585.04558
409	47561.7464
410	47545.56813
411	47514.89887
412	47501.55419
413	47493.21693
414	47487.60508
415	47457.00543
416	47435.78008
417	47406.01996
418	47400.49317
419	47378.88625
420	47356.77386
421	47334.05878
422	47305.09862
423	47299.62309
424	47271.53342
425	47249.92528
426	47210.35715
427	47189.65427
428	47170.6693
429	47138.34233
430	47121.87507
431	47088.4126
432	47070.48948
433	47043.15133
434	47022.08423
435	47007.24354
436	47001.69951
437	46993.91985
438	46982.76043
439	46976.6104
440	46940.20153
441	46928.53337
442	46899.49472
443	46873.10248
444	46842.90301
445	46810.54686
446	46780.37993
447	46769.92974
448	46764.41247
449	46738.76131
450	46718.72591
451	46713.26474
452	46703.9264
453	46684.74198
454	46657.48808
455	46628.36599
456	46622.92269
457	46596.80072
458	46568.38754
459	46536.52366
460	46501.37136
461	46472.92943
462	46452.9564
463	46438.31206
464	46412.27869
465	46398.3432
466	46380.97111
467	46350.39353
468	46344.81791
469	46337.42468
470	46325.65445
471	46307.04353
472	46301.5636
473	46294.43983
474	46283.96489
475	46224.12909
476	46194.877
477	46175.27022
478	46169.83305
479	46159.5889
480	46129.70105
481	46108.62185
482	46103.28414
483	46086.52149
484	46058.02347
485	46039.95243
486	46035.31826
487	46007.99617
488	46004.02166
489	45986.73426
490	45960.65393
491	45936.62705
492	45930.40441
493	45900.87664
494	45884.70327
495	45851.64747
496	45841.61202
497	45816.60353
498	45809.90026
499	45794.76115
500	45772.99493
501	45742.01281
502	45718.21663
503	45708.6002
504	45651.72661
505	45646.42116
506	45641.05532
507	45636.64623
508	45632.66457
509	45627.53228
510	45622.48448
511	45617.51945
512	45596.7834
513	45591.95179
514	45566.39179
515	45539.39145
516	45509.79506
517	45484.97041
518	45434.40777
519	45408.32742
520	45386.60887
521	45376.70864
522	45353.79894
523	45335.30565
524	45328.70308
525	45324.80102
526	45300.55766
527	45287.69108
528	45283.84735
529	45262.77828
530	45238.41791
531	45226.01656
532	45198.90103
533	45192.60452
534	45174.99995
535	45154.87538
536	45116.34441
537	45102.43452
538	45084.26578
539	45072.29857
540	45050.31339
541	45028.21154
542	45023.21566
543	45008.67609
544	44983.17042
545	44963.44408
546	44957.32867
547	44940.47419
548	44936.63895
549	44921.84947
550	44901.64286
551	44884.02256
552	44879.10322
553	44859.19391
554	44837.28575
555	44833.38354
556	44824.04892
557	44800.73664
558	44786.31565
559	44773.79913
560	44751.28098
561	44728.32477
562	44722.4338
563	44695.18656
564	44679.02614
565	44672.77028
566	44666.97574
567	44657.47748
568	44642.13471
569	44628.00792
570	44624.09732
571	44614.71096
572	44602.97209
573	44598.212
574	44579.25104
575	44570.0106
576	44566.26393
577	44544.52358
578	44520.54921
579	44503.64267
580	44487.48295
581	44483.7973
582	44469.32675
583	44450.8348
584	44446.10248
585	44423.13148
586	44414.18162
587	44402.84753
588	44397.46616
589	44392.81235
590	44379.23068
591	44363.47169
592	44349.37279
593	44337.1374
594	44333.34974
595	44329.6321
596	44311.17635
597	44300.81383
598	44278.49487
599	44258.11994
600	44231.11371
601	44221.94586
602	44217.36591
603	44199.27994
604	44195.73001
605	44164.56005
606	44142.27302
607	44133.64761
608	44118.76522
609	44106.75971
610	44094.2239
611	44076.42402
612	44054.68858
613	44032.73632
614	44013.70439
615	43986.51681
616	43976.31444
617	43967.8164
618	43954.63441
619	43941.76486
620	43938.12337
621	43924.19915
622	43911.6616
623	43902.70799
624	43875.59931
625	43856.41334
626	43851.61936
627	43838.71126
628	43820.38585
629	43815.71606
630	43806.94553
631	43788.69975
632	43766.20469
633	43730.90286
634	43722.7081
635	43702.01645
636	43685.62091
637	43660.91727
638	43656.87406
639	43633.89232
640	43623.32965
641	43605.79792
642	43584.33179
643	43579.89904
644	43567.85545
645	43550.7618
646	43543.67551
647	43514.54833
648	43504.03524
649	43500.37153
650	43472.36207
651	43460.66439
652	43447.54592
653	43437.53227
654	43427.30239
655	43404.90527
656	43400.70184
657	43393.01352
658	43375.39032
659	43367.26172
660	43355.9757
661	43344.75723
662	43332.34553
663	43321.62248
664	43318.4005
665	43301.81043
666	43286.04941
667	43274.15295
668	43263.79182
669	43243.89238
670	43232.71454
671	43224.70938
672	43211.25384
673	43202.13364
674	43177.27916
675	43166.13383
676	43146.83315
677	43124.19947
678	43114.55694
679	43111.97665
680	43108.50698
681	43089.83311
682	43069.99028
683	43062.76297
684	43055.84277
685	43052.11688
686	43028.9052
687	43012.43653
688	42995.93188
689	42985.90436
690	42978.9651
691	42957.02925
692	42948.50289
693	42944.52328
694	42920.357
695	42901.01525
696	42894.8745
697	42882.8657
698	42868.30573
699	42864.3334
700	42841.68447
701	42821.10123
702	42794.98354
703	42764.70752
704	42737.67962
705	42734.08164
706	42721.51092
707	42712.58699
708	42691.8853
709	42680.51716
710	42676.98513
711	42673.60971
712	42670.12723
713	42657.49116
714	42642.40588
715	42621.01872
716	42597.24908
717	42585.32655
718	42570.8365
719	42556.33496
720	42552.97752
721	42528.07414
722	42510.97946
723	42500.26761
724	42493.52519
725	42490.23777
726	42478.29084
727	42462.58953
728	42435.73025
729	42416.31207
730	42404.78212
731	42401.58955
732	42391.50312
733	42365.79577
734	42362.10503
735	42352.97645
736	42341.22595
737	42337.66781
738	42327.80698
739	42311.68085
740	42263.78554
