iter	Passed	Remaining
0	0	411
1	2	1132
2	2	837
3	2	674
4	2	575
5	5	991
6	6	885
7	6	797
8	6	728
9	6	676
10	7	630
11	7	592
12	7	559
13	7	532
14	8	570
15	13	808
16	13	776
17	13	743
18	13	713
19	14	686
20	14	661
21	14	638
22	14	617
23	14	600
24	14	582
25	15	566
26	15	551
27	15	536
28	15	523
29	20	654
30	20	640
31	20	626
32	20	611
33	21	599
34	21	586
35	21	574
36	21	562
37	21	552
38	21	542
39	22	532
40	22	522
41	22	513
42	22	505
43	22	498
44	27	574
45	27	567
46	27	559
47	27	550
48	27	542
49	28	534
50	28	526
51	28	519
52	28	512
53	28	505
54	29	498
55	29	491
56	29	485
57	29	479
58	29	473
59	34	543
60	34	538
61	35	531
62	35	525
63	35	519
64	35	514
65	35	508
66	36	502
67	36	497
68	36	491
69	36	486
70	36	481
71	37	477
72	45	575
73	45	570
74	45	565
75	48	587
76	48	582
77	48	576
78	52	611
79	53	616
80	53	611
81	54	605
82	54	599
83	54	593
84	54	587
85	54	582
86	55	577
87	59	613
88	59	608
89	59	603
90	59	597
91	60	592
92	60	587
93	60	582
94	60	577
95	60	572
96	60	567
97	61	562
98	61	557
99	61	553
100	62	554
101	66	583
102	66	579
103	66	574
104	66	570
105	67	565
106	67	561
107	67	557
108	67	552
109	67	548
110	68	544
111	68	540
112	73	573
113	73	570
114	73	566
115	73	561
116	73	557
117	74	553
118	74	549
119	74	545
120	74	542
121	74	538
122	74	534
123	75	531
124	75	527
125	75	523
126	75	520
127	75	517
128	76	513
129	79	535
130	80	532
131	80	529
132	80	525
133	80	522
134	81	519
135	81	515
136	81	512
137	81	509
138	81	506
139	81	502
140	82	499
141	82	496
142	84	505
143	84	502
144	84	499
145	84	496
146	85	493
147	90	522
148	91	520
149	91	517
150	91	514
151	91	511
152	91	508
153	91	505
154	92	502
155	92	499
156	92	496
157	92	494
158	92	491
159	93	488
160	93	486
161	93	483
162	93	480
163	93	478
164	94	475
165	94	473
166	94	470
167	97	482
168	97	480
169	97	477
170	98	475
171	98	473
172	98	470
173	98	468
174	98	465
175	99	463
176	100	467
177	100	465
178	101	463
179	101	461
180	101	458
181	104	469
182	105	471
183	105	469
184	105	466
185	106	464
186	106	462
187	111	481
188	111	480
189	112	478
190	113	481
191	113	479
192	114	477
193	114	474
194	114	472
195	115	473
196	115	470
197	115	469
198	116	467
199	116	464
200	116	462
201	116	460
202	116	458
203	122	477
204	122	475
205	122	473
206	123	471
207	123	469
208	123	467
209	123	464
210	123	462
211	123	460
212	124	458
213	124	456
214	124	454
215	124	452
216	124	450
217	125	448
218	125	446
219	125	444
220	125	442
221	125	440
222	125	438
223	129	447
224	129	445
225	129	443
226	129	441
227	129	439
228	130	437
229	130	436
230	136	454
231	136	453
232	137	451
233	137	449
234	137	447
235	137	445
236	137	443
237	138	441
238	138	439
239	138	438
240	138	436
241	138	434
242	138	432
243	139	430
244	139	429
245	139	427
246	139	425
247	139	423
248	139	422
249	140	420
250	140	418
251	140	416
252	140	415
253	140	413
254	147	429
255	147	428
256	147	426
257	147	424
258	147	423
259	148	421
260	148	419
261	148	418
262	148	416
263	148	414
264	149	413
265	149	411
266	149	410
267	149	408
268	149	406
269	149	405
270	150	403
271	150	402
272	150	400
273	150	399
274	150	397
275	151	396
276	153	400
277	153	399
278	154	398
279	154	396
280	154	395
281	154	393
282	154	392
283	158	400
284	159	399
285	159	397
286	159	396
287	159	394
288	159	393
289	160	392
290	160	390
291	160	389
292	160	387
293	160	386
294	164	392
295	164	391
296	164	389
297	164	388
298	165	387
299	165	386
300	165	385
301	166	383
302	166	382
303	166	380
304	168	384
305	169	383
306	169	381
307	169	380
308	173	387
309	173	386
310	173	384
311	173	383
312	174	381
313	174	380
314	174	379
315	174	377
316	174	376
317	174	375
318	178	381
319	178	379
320	179	378
321	179	377
322	179	375
323	179	374
324	180	374
325	180	372
326	180	371
327	185	380
328	186	379
329	186	378
330	186	376
331	186	375
332	186	374
333	187	373
334	187	371
335	187	370
336	187	369
337	188	368
338	188	367
339	188	365
340	188	364
341	188	363
342	188	361
343	189	360
344	192	365
345	192	364
346	193	363
347	193	362
348	193	361
349	193	359
350	193	358
351	194	357
352	194	356
353	194	354
354	194	353
355	199	361
356	200	360
357	200	359
358	200	357
359	200	356
360	200	355
361	201	354
362	201	353
363	201	351
364	201	350
365	201	349
366	201	348
367	202	347
368	202	345
369	202	344
370	202	343
371	202	342
372	203	341
373	206	345
374	206	344
375	207	343
376	207	342
377	207	341
378	207	340
379	207	339
380	207	337
381	208	336
382	208	335
383	208	334
384	208	333
385	212	337
386	212	336
387	212	335
388	213	335
389	214	334
390	218	340
391	218	339
392	219	338
393	219	337
394	219	336
395	219	335
396	219	334
397	220	332
398	220	331
399	220	330
400	220	329
401	220	328
402	221	327
403	221	326
404	222	326
405	228	334
406	228	333
407	228	332
408	229	331
409	229	329
410	229	328
411	229	327
412	229	326
413	230	325
414	230	324
415	230	323
416	230	322
417	230	321
418	230	320
419	231	319
420	231	318
421	231	317
422	231	315
423	231	314
424	231	313
425	232	312
426	232	311
427	232	310
428	234	312
429	235	311
430	235	310
431	235	309
432	235	308
433	235	307
434	236	306
435	236	305
436	242	312
437	242	311
438	243	310
439	243	309
440	243	308
441	243	307
442	243	306
443	243	305
444	244	304
445	244	303
446	244	302
447	244	301
448	244	300
449	244	299
450	245	298
451	245	297
452	245	296
453	245	295
454	245	294
455	246	293
456	246	292
457	246	291
458	248	293
459	249	292
460	249	291
461	249	290
462	249	289
463	249	288
464	250	287
465	250	286
466	256	292
467	256	291
468	256	290
469	257	289
470	257	288
471	257	288
472	257	287
473	257	286
474	258	285
475	258	284
476	258	283
477	258	282
478	258	281
479	258	280
480	259	279
481	259	278
482	259	277
483	259	276
484	259	276
485	260	275
486	260	274
487	260	273
488	261	273
489	266	276
490	266	276
491	266	275
492	266	274
493	266	273
494	267	272
495	267	271
496	267	270
497	267	269
498	267	268
499	267	267
500	268	267
501	273	271
502	274	270
503	274	270
504	274	269
505	274	268
506	275	268
507	275	267
508	276	266
509	276	265
510	276	264
511	276	263
512	277	263
513	277	262
514	277	261
515	277	260
516	277	259
517	278	258
518	278	257
519	284	262
520	284	261
521	285	261
522	285	260
523	285	259
524	285	258
525	285	257
526	285	256
527	286	255
528	286	254
529	286	254
530	286	253
531	286	252
532	287	251
533	287	250
534	287	249
535	287	248
536	287	248
537	287	247
538	288	246
539	288	245
540	288	244
541	288	243
542	288	243
543	288	242
544	294	246
545	294	245
546	295	244
547	295	243
548	295	242
549	295	241
550	295	241
551	296	240
552	296	239
553	296	238
554	296	237
555	296	236
556	296	236
557	297	235
558	297	234
559	297	233
560	297	232
561	297	232
562	297	231
563	298	230
564	298	229
565	298	228
566	298	228
567	298	227
568	298	226
569	299	225
570	299	224
571	299	224
572	299	223
573	299	222
574	300	221
575	300	220
576	300	220
577	300	219
578	300	218
579	300	217
580	301	217
581	301	216
582	301	215
583	301	214
584	301	214
585	301	213
586	302	212
587	302	211
588	302	211
589	302	210
590	302	209
591	303	208
592	303	208
593	303	207
594	303	206
595	303	205
596	303	205
597	304	204
598	304	203
599	304	203
600	304	202
601	304	201
602	305	200
603	305	200
604	305	199
605	305	198
606	305	197
607	305	197
608	306	196
609	306	195
610	306	195
611	306	194
612	306	193
613	306	192
614	307	192
615	307	191
616	307	190
617	307	190
618	307	189
619	308	188
620	308	188
621	308	187
622	308	186
623	308	186
624	308	185
625	309	184
626	309	183
627	309	183
628	309	182
629	309	181
630	309	181
631	310	180
632	310	179
633	310	179
634	310	178
635	311	178
636	311	177
637	311	176
638	311	176
639	311	175
640	311	174
641	312	174
642	312	173
643	312	172
644	312	172
645	312	171
646	313	170
647	313	170
648	313	169
649	313	168
650	313	168
651	314	167
652	314	166
653	314	166
654	314	165
655	314	165
656	314	164
657	315	163
658	315	163
659	315	162
660	316	162
661	316	161
662	316	160
663	316	160
664	317	159
665	317	159
666	317	158
667	317	157
668	317	157
669	317	156
670	318	155
671	318	155
672	318	154
673	318	154
674	318	153
675	318	152
676	319	152
677	319	151
678	319	151
679	319	150
680	319	149
681	320	149
682	320	148
683	320	148
684	320	147
685	321	146
686	321	146
687	321	145
688	321	145
689	321	144
690	321	143
691	321	143
692	322	142
693	322	142
694	322	141
695	322	140
696	322	140
697	322	139
698	323	139
699	323	138
700	323	137
701	323	137
702	323	136
703	323	136
704	323	135
705	324	134
706	324	134
707	324	133
708	324	133
709	324	132
710	324	132
711	325	131
712	325	130
713	325	130
714	325	129
715	325	129
716	325	128
717	326	128
718	326	127
719	326	126
720	326	126
721	326	125
722	326	125
723	326	124
724	327	124
725	327	123
726	327	122
727	327	122
728	327	121
729	327	121
730	328	120
731	328	120
732	328	119
733	328	119
734	328	118
735	329	118
736	329	117
737	329	116
738	329	116
739	329	115
740	330	115
741	330	114
742	330	114
743	330	113
744	330	113
745	330	112
746	331	112
747	331	111
748	331	111
749	331	110
750	331	109
751	331	109
752	331	108
753	332	108
754	332	107
755	332	107
756	332	106
