iter	RMSE
0	71377.57597
1	70977.7228
2	70779.94786
3	70324.82033
4	70013.10747
5	69611.17575
6	69235.04487
7	68830.66034
8	68536.30184
9	68303.26497
10	67990.80697
11	67664.12491
12	67351.81843
13	67084.7373
14	66751.16488
15	66491.69107
16	66289.89141
17	65993.79215
18	65696.12291
19	65458.55717
20	65218.69881
21	64932.03477
22	64735.37767
23	64515.63131
24	64318.08264
25	64049.75513
26	63920.5876
27	63705.96734
28	63570.50441
29	63368.94299
30	63158.31334
31	62902.92922
32	62706.25106
33	62503.04899
34	62272.94765
35	62068.84973
36	61857.09205
37	61638.41633
38	61473.65754
39	61303.56972
40	61138.07351
41	60941.48767
42	60871.95743
43	60728.19222
44	60567.37398
45	60372.34547
46	60220.00865
47	60076.18694
48	59925.24425
49	59800.37593
50	59660.04633
51	59539.66923
52	59384.49712
53	59345.46271
54	59188.97962
55	59044.65615
56	58928.5708
57	58819.2989
58	58649.0107
59	58483.68764
60	58394.97884
61	58312.55522
62	58197.64495
63	58066.10122
64	57960.76603
65	57813.42819
66	57696.96926
67	57530.64258
68	57450.51051
69	57361.6218
70	57239.93965
71	57134.00251
72	57009.63065
73	56928.81633
74	56804.4498
75	56650.26489
76	56531.60915
77	56419.30802
78	56286.30794
79	56136.82139
80	56066.48742
81	55966.08396
82	55879.02274
83	55774.82576
84	55635.685
85	55548.87044
86	55461.81425
87	55388.20117
88	55348.50697
89	55228.71009
90	55141.35884
91	55053.27461
92	54950.35773
93	54886.18742
94	54835.71606
95	54750.75733
96	54674.25471
97	54558.96853
98	54474.64505
99	54454.26333
