iter	Passed	Remaining
0	0	79
1	1	87
2	2	73
3	3	85
4	4	79
5	4	77
6	5	70
7	5	68
8	6	67
9	6	62
10	7	62
11	8	63
12	9	62
13	10	61
14	10	61
15	11	61
16	12	60
17	13	59
18	13	58
19	14	57
20	15	57
21	15	56
22	16	55
23	17	55
24	18	54
25	18	53
26	19	52
27	20	52
28	20	50
29	21	50
30	22	50
31	23	50
32	24	50
33	25	50
34	26	50
35	27	49
36	29	49
37	29	48
38	30	47
39	31	47
40	32	46
41	32	45
42	34	45
43	34	44
44	35	43
45	36	42
46	37	42
47	38	41
48	40	42
49	41	41
50	42	40
51	43	39
52	44	39
53	44	38
54	45	37
55	45	36
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	50	31
62	51	30
63	52	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	55	23
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	60	18
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	65	13
83	66	12
84	66	11
85	67	11
86	68	10
87	68	9
88	69	8
89	69	7
90	70	6
91	71	6
92	73	5
93	74	4
94	75	3
95	75	3
96	76	2
97	77	1
98	78	0
99	78	0
